post_id,post_timestamp,comment_id,comment_timestamp,comment_username,comment_text,comment_scrape_date,comment_user_id,comment_like_count,comment_reply_count,comment_did_report_as_spam,comment_hashtags,comment_mentions,reply_id,reply_timestamp,reply_username,reply_text,reply_scrape_date,reply_user_id,reply_like_count,reply_hashtags,reply_mentions,scrape_date,text_for_analysis,sentiment_label,sentiment_score,toxicity_toxicity,toxicity_severe_toxicity,toxicity_obscene,toxicity_identity_attack,toxicity_insult,toxicity_threat,toxicity_sexual_explicit,misogyny_label,misogyny_score
2776323707535243821,2022-02-18T11:51:33.000Z,17914723934489377,2022-02-18T12:11:26.000Z,goosegirl4,Well said - how clear you are Cara 🔥👏,2025-03-08T10:45:31.682Z,1741572614.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.682000+00:00,Well said - how clear you are Cara 🔥👏,positive,0.902751088142395,0.00298747094348073,3.821624341071583e-05,0.0004724374448414892,0.00012911122757941484,0.0012042004382237792,6.930036761332303e-05,8.22080037323758e-05,LABEL_0,0.9999651908874512
2776323707535243821,2022-02-18T11:51:33.000Z,17939364019803205,2022-02-20T21:36:14.000Z,eastie10,👏,2025-03-08T10:45:31.682Z,435051557.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.682000+00:00,👏,positive,0.5683245658874512,0.0006997145246714354,3.2212541555054486e-05,0.0002762458461802453,0.00013864670472685248,0.0005341811920516193,5.0917402404593304e-05,2.7769865482696332e-05,LABEL_0,0.9999614953994751
2776323707535243821,2022-02-18T11:51:33.000Z,17934367807959455,2022-02-18T16:02:00.000Z,deeryemmett,How could anyone ever abuse you cara 😍😍,2025-03-08T10:45:31.682Z,39246448545.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.682000+00:00,How could anyone ever abuse you cara 😍😍,positive,0.4301426410675049,0.04890264570713043,0.0001929175341501832,0.0011045896681025624,0.0009501934982836246,0.0007426359225064516,0.007099385838955641,0.0009168853284791112,LABEL_0,0.9999573230743408
2776323707535243821,2022-02-18T11:51:33.000Z,17938790764814382,2022-02-18T18:24:56.000Z,bucketlistgirly,👏👏,2025-03-08T10:45:31.682Z,334334112.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.682000+00:00,👏👏,positive,0.5775880217552185,0.0006237202323973179,2.4543196559534408e-05,0.0001921785733429715,0.00011146628821734339,0.00040864571928977966,4.263868322595954e-05,2.3323449568124488e-05,LABEL_0,0.9999674558639526
2780088730854101029,2022-02-23T16:32:07.000Z,18268203652069246,2022-02-23T17:26:00.000Z,samueldalton22,I prefer the second photo 👌🏻,2025-03-08T10:45:31.678Z,252057710.0,1.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.678000+00:00,I prefer the second photo 👌🏻,positive,0.7668983340263367,0.0003147195966448635,6.0066202422603965e-05,0.00044194856309331954,0.00017651592497713864,0.00036760163493454456,5.787860573036596e-05,4.0562030335422605e-05,LABEL_0,0.9999551773071289
2780088730854101029,2022-02-23T16:32:07.000Z,18156926050211158,2022-02-24T17:19:46.000Z,alpinefoxjock,some don’t even bother to show up at the door even on a good day. 👏,2025-03-08T10:45:31.678Z,182723124.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.678000+00:00,some don’t even bother to show up at the door even on a good day. 👏,negative,0.3794323801994324,0.0010159628000110388,2.4213653887272812e-05,0.00027420566766522825,9.31608592509292e-05,0.0004316121921874583,3.5886750993086025e-05,2.6762134439195506e-05,LABEL_0,0.9999696016311646
2780088730854101029,2022-02-23T16:32:07.000Z,18289606288016020,2022-02-23T23:36:18.000Z,hugh.gallagher.31,👏,2025-03-08T10:45:31.678Z,1483535436.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.678000+00:00,👏,positive,0.5683245658874512,0.0006997145246714354,3.2212541555054486e-05,0.0002762458461802453,0.00013864670472685248,0.0005341811920516193,5.0917402404593304e-05,2.7769865482696332e-05,LABEL_0,0.9999614953994751
2780088730854101029,2022-02-23T16:32:07.000Z,17945513218809683,2022-02-23T20:00:41.000Z,anumqaisarsnp,Story of my life!,2025-03-08T10:45:31.678Z,1971663386.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.678000+00:00,Story of my life!,positive,0.488602876663208,0.0004317569837439805,2.8561786166392267e-05,0.00022454651480074972,8.37782135931775e-05,0.000200955881155096,4.687588443630375e-05,2.7230735213379376e-05,LABEL_0,0.9999746084213257
2780088730854101029,2022-02-23T16:32:07.000Z,18134277505247245,2022-02-23T18:16:18.000Z,positivelife_ni,"Girl, I wish I had your hair.",2025-03-08T10:45:31.678Z,10706298292.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.678000+00:00,"Girl, I wish I had your hair.",negative,0.3983318507671356,0.01742120087146759,6.940949242562056e-05,0.0006096657016314566,0.0006537124281749129,0.002741718664765358,0.0012406418099999428,0.0006618592306040227,LABEL_0,0.9999175071716309
2780088730854101029,2022-02-23T16:32:07.000Z,17911824506377191,2022-02-24T21:56:13.000Z,mx79wel,😍,2025-03-08T10:45:31.678Z,175929928.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.678000+00:00,😍,positive,0.5493464469909668,0.0010185377905145288,2.9066248316667043e-05,0.0002560640568844974,0.0001342764007858932,0.0004824358911719173,5.812047311337665e-05,2.658025005075615e-05,LABEL_0,0.9999622106552124
2780088730854101029,2022-02-23T16:32:07.000Z,17916326741189198,2022-02-23T18:16:05.000Z,lynne.tierney.73,Still beautiful 🔥,2025-03-08T10:45:31.678Z,1640174759.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.678000+00:00,Still beautiful 🔥,positive,0.8641989231109619,0.0005525339511223137,2.5095347155001946e-05,0.00020955615036655217,0.0001083003226085566,0.00023619210696779191,4.493154847295955e-05,2.7246294848737307e-05,LABEL_0,0.9999581575393677
2780989800405150808,2022-02-24T21:58:03.000Z,17911831757285736,2022-02-24T22:12:14.000Z,brendavincent08,😔🙏,2025-03-08T10:45:31.673Z,567346604.0,1.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.673000+00:00,😔🙏,negative,0.8439633846282959,0.0007949448190629482,1.9867782611981966e-05,0.00014401508087757975,0.00012265470286365598,0.0003990595869254321,4.345060733612627e-05,2.0662895622081123e-05,LABEL_0,0.9999678134918213
2780989800405150808,2022-02-24T21:58:03.000Z,17911786691286080,2022-02-24T22:14:56.000Z,martinaokane,Amen 🙌,2025-03-08T10:45:31.673Z,3917563851.0,1.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.673000+00:00,Amen 🙌,positive,0.6313835978507996,0.0004995788331143558,0.0002066587912850082,0.0021749092265963554,0.00035246580955572426,0.0018925787881016731,0.00020135674276389182,0.00010918983025476336,LABEL_0,0.9999748468399048
2780989800405150808,2022-02-24T21:58:03.000Z,18126677395269327,2022-02-24T23:57:44.000Z,mark.chamber.2016,😢🙏🙏,2025-03-08T10:45:31.673Z,14172190521.0,1.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.673000+00:00,😢🙏🙏,negative,0.42142537236213684,0.001001115539111197,2.1185634977882728e-05,0.00016658556705806404,0.00013115443289279938,0.00038515744381584227,6.176876195240766e-05,2.5990992071456276e-05,LABEL_0,0.9999691247940063
2780989800405150808,2022-02-24T21:58:03.000Z,17866469024633667,2022-02-25T01:27:59.000Z,mccannmark37,It really is devastating praying for the citizens of Ukraine and for the British and Irish people who are in Ukraine,2025-03-08T10:45:31.673Z,6733382053.0,1.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.673000+00:00,It really is devastating praying for the citizens of Ukraine and for the British and Irish people who are in Ukraine,negative,0.9454153776168823,0.0007080696523189545,3.2978332455968484e-05,0.0001835730072343722,0.00033579207956790924,0.00019268847245257348,4.091232403879985e-05,2.7003632567357272e-05,LABEL_0,0.9999760389328003
2780989800405150808,2022-02-24T21:58:03.000Z,18282741769004500,2022-02-25T20:39:08.000Z,pauline.hunter.9847,God bless them x,2025-03-08T10:45:31.673Z,34886575589.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.673000+00:00,God bless them x,positive,0.866215169429779,0.00039855489740148187,4.9102582124760374e-05,0.00022461095068138093,0.0001462765212636441,0.00012551428517326713,8.308374526677653e-05,4.5825745473848656e-05,LABEL_0,0.9999741315841675
2782339731619520560,2022-02-26T18:39:25.000Z,17954353402650277,2022-02-26T19:14:28.000Z,martinaokane,Drinking holy water 🤔,2025-03-08T10:45:31.596Z,3917563851.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.596000+00:00,Drinking holy water 🤔,neutral,0.7682331204414368,0.0002954907831735909,3.204595486749895e-05,0.00022410761448554695,8.339235500898212e-05,0.00018480712606105953,4.303764217183925e-05,3.369703335920349e-05,LABEL_0,0.9999692440032959
2782339731619520560,2022-02-26T18:39:25.000Z,18126811081266394,2022-02-26T18:43:12.000Z,johnthompson_78,A storm brewing 🙌🏻,2025-03-08T10:45:31.596Z,18804724702.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.596000+00:00,A storm brewing 🙌🏻,positive,0.6937358379364014,0.0010876863962039351,3.511418617563322e-05,0.00016431872791144997,0.00016963283997029066,0.00027724425308406353,0.00013299107376951724,2.8562330044223927e-05,LABEL_0,0.999976396560669
2782339731619520560,2022-02-26T18:39:25.000Z,18113974063284719,2022-02-26T18:41:20.000Z,liam_mcl76,My dad used to call it Irish Milk. 🔥,2025-03-08T10:45:31.596Z,8630604712.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.596000+00:00,My dad used to call it Irish Milk. 🔥,neutral,0.5527920722961426,0.0006418658886104822,2.0979714463464916e-05,0.00015023928426671773,8.783354860497639e-05,0.00028010280220769346,2.384654180787038e-05,2.146696533600334e-05,LABEL_0,0.9999518394470215
2782339731619520560,2022-02-26T18:39:25.000Z,18199737907148925,2022-02-26T20:50:02.000Z,mcerlaneterry,The three amigos🙌,2025-03-08T10:45:31.596Z,6253991178.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.596000+00:00,The three amigos🙌,positive,0.7132135629653931,0.0011000302620232105,3.506997745716944e-05,0.0003723133122548461,9.044635953614488e-05,0.0009271080489270389,4.90644815727137e-05,3.660102083813399e-05,LABEL_0,0.9999792575836182
2782981925355313122,2022-02-27T15:55:21.000Z,17912765693506768,2022-02-27T17:14:14.000Z,irishadventurerider,I'm walking the whole of the Ards peninsula in July for mental health charity.  That's 77 miles in 3 days.,2025-03-08T10:45:31.468Z,4348202075.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.468000+00:00,I'm walking the whole of the Ards peninsula in July for mental health charity.  That's 77 miles in 3 days.,neutral,0.5215105414390564,0.002954036695882678,0.0008494580397382379,0.0019335247343406081,0.0008553600637242198,0.0036099262069910765,0.0012259731302037835,0.0007532479939982295,LABEL_0,0.9999130964279175
2787476060720205902,2022-03-05T20:44:24.000Z,18003113191957168,2023-10-19T16:55:03.000Z,stevie_74_,🔥😍🔥,2025-03-08T10:45:31.299Z,44037057913.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,🔥😍🔥,positive,0.6598620414733887,0.0008488306193612516,3.2166833989322186e-05,0.00028064355137757957,0.0001501826918683946,0.00035438043414615095,6.117255543358624e-05,3.008564635820221e-05,LABEL_0,0.9999706745147705
2787476060720205902,2022-03-05T20:44:24.000Z,17896530443582182,2022-03-09T23:05:21.000Z,banterbailey,What a beautiful soul and 🔥. Lovely to meet you tonight!,2025-03-08T10:45:31.299Z,5093111.0,0.0,2.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,What a beautiful soul and 🔥. Lovely to meet you tonight!,positive,0.9523031711578369,0.00046078377636149526,2.623798900458496e-05,0.00018337830260861665,8.529987826477736e-05,0.00019327049085404724,4.127371357753873e-05,3.45976441167295e-05,LABEL_0,0.9999493360519409
2787476060720205902,2022-03-05T20:44:24.000Z,17940128470824569,2022-03-06T04:57:19.000Z,bobby.mcconnell,That wine doesn't s,2025-03-08T10:45:31.299Z,3258942856.0,0.0,1.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,That wine doesn't s,negative,0.6143206357955933,0.0028973277658224106,7.991574238985777e-05,0.002060528378933668,0.00017741309420671314,0.0013073779409751296,0.00010754721006378531,0.00014255373389460146,LABEL_0,0.999946117401123
2787476060720205902,2022-03-05T20:44:24.000Z,17844540791743326,2022-03-05T20:55:43.000Z,gourleyi,Have a great night 🔥,2025-03-08T10:45:31.299Z,2076610100.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,Have a great night 🔥,positive,0.8998451828956604,0.0004948399728164077,7.456888852175325e-05,0.0005633434047922492,0.00017537278472445905,0.00028295276570133865,9.798151586437598e-05,5.431702084024437e-05,LABEL_0,0.9999676942825317
2787476060720205902,2022-03-05T20:44:24.000Z,18216723043136863,2022-03-05T21:22:35.000Z,jennyjist,🥰,2025-03-08T10:45:31.299Z,226565023.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,🥰,positive,0.5691257119178772,0.0010004453361034393,0.0003510391397867352,0.003625347511842847,0.0011197205167263746,0.00735572911798954,0.00028072355780750513,0.00018022859876509756,LABEL_0,0.9999629259109497
2787476060720205902,2022-03-05T20:44:24.000Z,17938474903935278,2022-03-05T21:44:59.000Z,kerryg6577,Looking 🔥Cara,2025-03-08T10:45:31.299Z,5350920274.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,Looking 🔥Cara,positive,0.5912052392959595,0.000241527144680731,0.00018824005383066833,0.0011948393657803535,0.00018716549675446004,0.0008925505098886788,0.0001311616797465831,7.692711369600147e-05,LABEL_0,0.9999090433120728
2787476060720205902,2022-03-05T20:44:24.000Z,18027443989348867,2022-03-05T21:46:09.000Z,gage_elmo,Sis 🔥,2025-03-08T10:45:31.299Z,488946255.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,Sis 🔥,positive,0.583715558052063,0.008104451932013035,0.00020606476755347103,0.005414872895926237,0.000311905809212476,0.003422391600906849,0.0005539067788049579,0.002544053364545107,LABEL_0,0.9999600648880005
2787476060720205902,2022-03-05T20:44:24.000Z,17909957300404760,2022-03-05T21:59:57.000Z,mccannmark37,Wow looking absolutely gorgeous Cara have a great night,2025-03-08T10:45:31.299Z,6733382053.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,Wow looking absolutely gorgeous Cara have a great night,positive,0.931681752204895,0.00034190271981060505,8.00922789494507e-05,0.0003530879912432283,0.00011612212983891368,0.00018315375200472772,0.0001173003765870817,6.471378583228216e-05,LABEL_0,0.9999579191207886
2787476060720205902,2022-03-05T20:44:24.000Z,17899229678483266,2022-03-05T22:10:44.000Z,aalcorn95,🤍🤍🤍,2025-03-08T10:45:31.299Z,182192964.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,🤍🤍🤍,neutral,0.40672823786735535,0.00182544335257262,0.0038596640806645155,0.04362701624631882,0.005950149614363909,0.031182613223791122,0.0019233017228543758,0.0008855419582687318,LABEL_0,0.9999675750732422
2787476060720205902,2022-03-05T20:44:24.000Z,17925398474053791,2022-03-05T23:09:03.000Z,mindfulnessbelfast,Where are you for,2025-03-08T10:45:31.299Z,6287027536.0,1.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,Where are you for,neutral,0.7622014880180359,0.001279957126826048,1.9616687495727092e-05,0.00014366190589498729,0.0001234679075423628,0.0003916071727871895,4.660670310840942e-05,2.247213888040278e-05,LABEL_0,0.9999628067016602
2787476060720205902,2022-03-05T20:44:24.000Z,17935053550996084,2022-03-05T23:20:24.000Z,chrisofculture,Beautiful,2025-03-08T10:45:31.299Z,700484153.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,Beautiful,positive,0.5607569813728333,0.0005670308019034564,2.0340610717539676e-05,0.00015367694140877575,9.980508912121877e-05,0.0002701577905099839,3.561733683454804e-05,1.947123382706195e-05,LABEL_0,0.9999561309814453
2787476060720205902,2022-03-05T20:44:24.000Z,17932839589907383,2022-03-06T19:50:37.000Z,bostonteax37,🔥🔥🔥🔥,2025-03-08T10:45:31.299Z,17944194334.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,🔥🔥🔥🔥,positive,0.49914565682411194,0.0008975018281489611,5.358573253033683e-05,0.0005859374068677425,0.00018900170107372105,0.0004522917151916772,8.87267233338207e-05,4.972591341356747e-05,LABEL_0,0.9999759197235107
2787476060720205902,2022-03-05T20:44:24.000Z,17934791198000827,2022-03-06T02:05:42.000Z,paul.kyte,Enjoy your nite Cara don't be getting too drunk,2025-03-08T10:45:31.299Z,6327220419.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,Enjoy your nite Cara don't be getting too drunk,neutral,0.4351317286491394,0.03344722464680672,0.00017377993208356202,0.0037063953932374716,0.00018716476915869862,0.0063433656468987465,0.001573067158460617,0.00669071776792407,LABEL_0,0.9999581575393677
2787476060720205902,2022-03-05T20:44:24.000Z,18006205783373554,2022-03-05T23:41:24.000Z,irishadventurerider,Hint of Catherine Zeta Jones about you..... and that's not a bad thing.,2025-03-08T10:45:31.299Z,4348202075.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:31.299000+00:00,Hint of Catherine Zeta Jones about you..... and that's not a bad thing.,neutral,0.5847181677818298,0.0011669902596622705,2.9575900043710135e-05,0.0003900498559232801,0.0001330717495875433,0.00047170621110126376,4.066179826622829e-05,3.7909634556854144e-05,LABEL_0,0.9999347925186157
2787476060720205902,2022-03-05T20:44:24.000Z,17896530443582182,,banterbailey,,,,,,,,,1.827540594406997e+16,2022-03-09T23:55:30.000Z,carahuntermla,@lisajaynebailey82 Awk thanks so much Lisa - Lovely meeting you too! Must catch up soon 😄❤️,2025-03-08T10:45:31.299Z,20083423296.0,0.0,[],['@lisajaynebailey82'],2025-03-08 10:45:31.299000+00:00,@lisajaynebailey82 Awk thanks so much Lisa - Lovely meeting you too! Must catch up soon 😄❤️,positive,0.8926719427108765,0.00039328436832875013,1.6718520782887936e-05,9.746461000759155e-05,7.389844540739432e-05,0.00018670367717277259,2.4092154490062967e-05,1.9508313926053233e-05,LABEL_0,0.9999675750732422
2787476060720205902,2022-03-05T20:44:24.000Z,17896530443582182,,banterbailey,,,,,,,,,1.7951857873698014e+16,2022-03-10T05:49:02.000Z,banterbailey,@carahuntermla yes ! I like coffee dates☕️,2025-03-08T10:45:31.299Z,5093111.0,0.0,[],['@carahuntermla'],2025-03-08 10:45:31.299000+00:00,@carahuntermla yes ! I like coffee dates☕️,positive,0.6898530125617981,0.0005285688093863428,1.7539770851726644e-05,0.00010068193660117686,9.636404865887016e-05,0.0002218555164290592,2.8690528779407032e-05,1.801183861971367e-05,LABEL_0,0.999962568283081
2787476060720205902,2022-03-05T20:44:24.000Z,17940128470824569,,bobby.mcconnell,,,,,,,,,1.811799308227211e+16,2022-03-06T04:58:03.000Z,bobby.mcconnell,@bobby.mcconnell Go with the dress. lol,2025-03-08T10:45:31.299Z,3258942856.0,0.0,[],['@bobby.mcconnell'],2025-03-08 10:45:31.299000+00:00,@bobby.mcconnell Go with the dress. lol,positive,0.5524091124534607,0.0009477576240897179,1.0883733921218663e-05,8.648142102174461e-05,8.555436943424866e-05,0.00041680748108774424,3.131745688733645e-05,1.7525373550597578e-05,LABEL_0,0.9999485015869141
2791118875173978953,2022-03-10T21:22:01.000Z,17913411185508408,2022-03-10T21:31:02.000Z,olivias_haven,Brilliant event! You spoke so well xx,2025-03-08T10:45:30.738Z,10453798631.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:30.738000+00:00,Brilliant event! You spoke so well xx,positive,0.9395788908004761,0.0003909523948095739,3.460001971689053e-05,0.000236081556067802,9.067467908607796e-05,0.00021322657994460315,4.416559750097804e-05,2.751057400018908e-05,LABEL_0,0.999967098236084
2793708392963898169,2022-03-14T11:08:15.000Z,17974431082504203,2022-03-14T14:29:26.000Z,philipmurphy8,"Even for people on decent incomes, the energy bills are something else",2025-03-08T10:45:30.694Z,8433122007.0,1.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:30.694000+00:00,"Even for people on decent incomes, the energy bills are something else",negative,0.755463719367981,0.00047666672617197037,2.146547194570303e-05,0.00015186538803391159,8.927447197493166e-05,0.00024087930796667933,3.347788151586428e-05,2.256506195408292e-05,LABEL_0,0.999969482421875
2794681837655191603,2022-03-15T19:20:58.000Z,17971950652483368,2022-03-15T23:27:15.000Z,gracersb,🔥🔥,2025-03-08T10:45:30.639Z,213093448.0,0.0,0.0,False,[],[],,,,,,,,,,2025-03-08 10:45:30.639000+00:00,🔥🔥,positive,0.47391679883003235,0.0008634601254016161,4.0705210267333314e-05,0.00045357143972069025,0.000152711829287,0.0005548595217987895,7.39585084374994e-05,3.851086148642935e-05,LABEL_0,0.9999740123748779
